Recurring Revenue by Client,,,,,
,,,,,
Customer ID,Industry,2017,2018,2019,2020
84166,Manufacturing," $4,662,045.586430  "," $7,768,118.576664  "," $10,747,558.867917  "," $13,275,443.721407  "
6220,Manufacturing," $8,896,988.476313  "," $8,862,207.203244  "," $7,592,280.767946  "," $6,294,052.879014  "
15575,Manufacturing," $1,712,287.565223  "," $1,696,162.775442  "," $2,213,580.949205  "," $4,500,094.348854  "
68125,Manufacturing," $1,151,168.769507  "," $1,334,732.028256  "," $2,774,936.118352  "," $2,976,269.481787  "
75258,Telecom," $4,252,232.992910  "," $3,786,011.218339  "," $4,441,053.392806  "," $2,967,088.491417  "
196983,Manufacturing, –  ," $325,082.602147  "," $2,086,860.216529  "," $2,842,661.484878  "
9331,Telecom," $3,688,920.135324  "," $3,698,937.072054  "," $2,920,701.838879  "," $2,636,141.473584  "
18744,Manufacturing," $1,811,398.341763  "," $2,414,317.095877  "," $2,666,247.693953  "," $2,532,861.953067  "
178522,Engineering," $979,842.076975  "," $2,387,036.573414  "," $2,694,308.336703  "," $2,237,477.536556  "
182342,Computers," $354,137.414177  "," $1,853,907.197021  "," $2,219,149.826249  "," $2,191,003.155966  "
11260,Engineering," $1,267,407.344379  "," $1,338,041.517669  "," $1,643,765.305432  "," $2,181,497.585399  "
95779,Computers," $569,481.212705  "," $895,507.530154  "," $1,359,125.238574  "," $2,036,397.322657  "
101025,Manufacturing," $1,257,315.152933  "," $1,528,989.580426  "," $1,632,529.970578  "," $2,027,237.653105  "
6930,Telecom," $3,238,630.096580  "," $2,271,865.535763  "," $2,109,402.499594  "," $1,909,330.457999  "
141489,Engineering," $1,630,015.348315  "," $1,936,634.791306  "," $2,407,088.291181  "," $1,885,898.069950  "
7775,Engineering," $662,118.808995  "," $1,072,793.891451  "," $1,311,700.036694  "," $1,458,649.725901  "
46116,Telecom," $69,446.790563  "," $1,296,924.657130  "," $1,524,684.595312  "," $1,451,571.817450  "
7782,Telecom," $165,406.563686  "," $482,692.874385  "," $1,581,646.227502  "," $1,355,371.367814  "
100987,Telecom," $792,735.667199  "," $752,535.721940  "," $944,289.678224  "," $1,172,227.870373  "
101377,Manufacturing," $455,193.830227  "," $609,504.644419  "," $847,560.702683  "," $1,129,576.244801  "
205951,Computers, –  , –  ," $638,440.993575  "," $1,119,791.044738  "
125200,Manufacturing," $635,323.654017  "," $1,801,315.714300  "," $1,224,883.727849  "," $1,075,880.501563  "
204575,Engineering, –  , –  ," $47,496.671188  "," $1,018,987.389580  "
202702,Telecom, –  ," $332,862.018221  "," $1,000,418.120860  "," $984,420.874774  "
6338,Manufacturing," $343,293.709288  "," $491,401.350090  "," $864,840.399201  "," $970,306.630356  "
175182,Engineering," $754,322.785505  "," $431,681.973964  "," $466,728.576298  "," $968,572.115985  "
42431,Engineering," $1,232,152.694872  "," $869,753.900970  "," $901,552.708276  "," $960,175.937627  "
3185,Computers," $769,054.643369  "," $769,054.643369  "," $769,054.643369  "," $800,961.866018  "
6051,Engineering," $443,022.326710  "," $340,834.676487  "," $560,673.364474  "," $765,526.896501  "
209100,Telecom, –  , –  , –  ," $730,166.953928  "
20963,Telecom," $404,914.746654  "," $474,846.380760  "," $522,631.377399  "," $719,236.458516  "
206605,Engineering, –  , –  ," $298,008.674306  "," $692,149.179032  "
92511,Computers," $824,748.619324  "," $1,381,913.026333  "," $748,894.196333  "," $690,286.357785  "
206268,Manufacturing, –  , –  ," $312,876.301751  "," $685,584.235590  "
155878,Manufacturing," $173,415.914478  "," $478,778.720407  "," $456,159.253301  "," $678,584.013175  "
79510,Manufacturing," $223,733.483662  "," $555,161.320682  "," $491,340.466597  "," $675,593.141571  "
8007,Telecom," $1,121,538.021580  "," $4,406,042.227637  "," $3,204,394.347372  "," $640,878.869474  "
7374,Engineering," $165,309.363724  "," $208,675.500558  "," $398,423.711838  "," $636,985.530342  "
158300,Engineering," $1,405,551.455022  "," $1,293,667.938672  "," $1,811,201.707282  "," $633,240.175967  "
94574,Telecom," $582,143.923284  "," $693,669.664150  "," $763,067.038326  "," $631,305.547156  "
23846,Telecom," $168,492.395442  "," $205,070.556917  "," $239,717.536733  "," $617,228.836994  "
170165,Manufacturing," $479,006.423043  "," $600,864.278182  "," $654,712.181574  "," $538,068.113603  "
141279,Computers," $201,061.929830  "," $191,008.833338  "," $100,530.964915  "," $526,530.928742  "
49318,Engineering," $69,013.041059  "," $51,363.236994  "," $242,562.456296  "," $517,443.268745  "
132428,Engineering," $706,388.633586  "," $1,200,598.586770  "," $1,299,228.096931  "," $505,698.726499  "
29364,Engineering," $703,162.765956  "," $659,124.234297  "," $664,941.081591  "," $494,457.152704  "
199252,Engineering, –  ," $236,436.263109  "," $472,595.060755  "," $468,739.195596  "
27707,Engineering," $291,308.577034  "," $291,308.577034  ", –  ," $466,579.237549  "
3237,Engineering," $352,483.378211  "," $387,442.786475  "," $424,304.536850  "," $457,962.426943  "
9222,Computers," $190,853.727329  "," $187,479.500082  "," $150,600.125538  "," $452,085.567710  "
206062,Engineering, –  , –  ," $72,407.741639  "," $440,170.934305  "
85560,Telecom," $54,506.821035  "," $73,851.743287  "," $248,038.667434  "," $432,640.662378  "
144639,Computers," $114,879.188102  "," $122,243.857341  "," $5,896.134151  "," $422,554.840434  "
201364,Engineering, –  ," $213,935.108383  "," $414,861.132914  "," $415,042.088651  "
110289,Manufacturing," $142,573.265770  "," $219,762.888419  "," $275,132.642124  "," $404,230.486029  "
201022,Manufacturing, –  , –  , –  ," $402,443.548128  "
28390,Engineering," $578,905.882796  "," $495,343.289203  "," $486,859.655168  "," $393,919.401517  "
146880,Manufacturing," $222,944.253635  "," $301,164.193011  "," $279,771.266509  "," $387,358.876842  "
46991,Manufacturing," $315,281.442255  "," $274,372.251038  "," $345,610.377733  "," $386,444.170725  "
5790,Engineering," $389,902.741754  "," $408,035.972403  "," $388,622.586212  "," $386,344.407485  "
